S.No,Country/Region,ISO3,Exports_1,Imports_1,Total Trade_1,Trd.Bal_1,Exports_2,Imports_2,Total Trade_2,Trd.Bal_2,Export_Share_of_TotalTrade_%,Import_Share_of_TotalTrade_%,TradeBalance_Ratio_%,Exports_Growth_Computed_%,Imports_Growth_Computed_%,TotalTrade_Growth_%,Total_Trade_Calculated_Y1,Total_Trade_Difference_Y1,Total_Trade_Validation_Y1,Trade_Balance_Calculated_Y1,Trade_Balance_Difference_Y1,Trade_Balance_Validation_Y1,Total_Trade_Calculated_Y0,Total_Trade_Difference_Y0,Total_Trade_Validation_Y0,Trade_Balance_Calculated_Y0,Trade_Balance_Difference_Y0,Trade_Balance_Validation_Y0,Continent,Regional_Grouping,Income_Group_WB,GDP_USD_million_External,GDP_Growth_%_Derived,GDP_per_Capita_USD_Derived,Population_million_External,FTA_with_India,Distance_from_India_km_approx,Import_to_Export_Ratio,Trade_Balance_Category,Import_Dependency,Export_Dependency,Export_Growth_Category,Imports_Growth_Category,TotalTrade_Growth_Category,Trade_Pressure_Score_0_100,Trade_Pressure_Category,Export_Opportunity_Score_0_100_Sim,Market_Risk_Score_0_100_Sim,Investment_Priority_Score_0_100_Sim,Target_Market_Priority_Score_0_100_Sim,Expected_Revenue_USD_million_Sim,Expected_Cost_USD_million_Sim,Expected_Profit_USD_million_Sim,Profit_Margin_%_Sim,Investment_Required_USD_million_Sim,Expected_ROI_%_Sim,Recommended_Action_Sim,GDP_Source,GDP_Source_Year,Population_Source,Population_Source_Year,Classification_Source,Classification_Source_Year,Distance_Source,Year_Status_Note,Import_to_Export_Ratio_Status,Predictive_Next_Year_Exports,Predictive_Next_Year_Imports,Predictive_Next_Year_Total_Trade,Predictive_Next_Year_Trade_Balance,Predictive_Export_Lag_1,Predictive_Import_Lag_1,Predictive_Trade_Lag_1,Predictive_TradeBalance_Lag_1
11,ARMENIA,ARM,660.17,293.69,953.86,366.48,1702.54,304.37,2006.91,1398.17,69.21036630113433,30.78963369886566,38.42073260226868,157.89417877213447,3.636487452756312,110.39880066257103,953.86,0.0,Valid,366.48,0.0,Valid,2006.91,0.0,Valid,1398.17,0.0,Valid,Asia,Europe and Central Asia,Upper-middle income,24212.13,24.08,7981.58,3.034,No,3766.0,0.4449,Trade Surplus,Low Import Dependency,High Export Dependency,High Growth,Moderate Growth,High Growth,19.0,Low Trade Pressure,75.9,19.0,78.4,70.6,33.01,22.45,10.56,31.99,26.41,39.98,Increase Exports,World Bank (NY.GDP.MKTP.CD) via datasets/gdp mirror,2023.0,World Bank (SP.POP.TOTL) via datasets/population mirror,2024.0,"World Bank Data Help Desk - Country and Lending Groups (FY2027, based on 2025 GNI); Continent field from mledoze/countries reference dataset",2026,"Derived: haversine great-circle distance between country centroid coordinates (mledoze/countries reference dataset) and India centroid. Approximate straight-line distance, NOT actual trade/shipping route distance.",Exact calendar year not recoverable from source file; periods kept as relative labels Y1 (current) and Y0 (previous),Valid,660.17,293.69,953.86,366.48,1702.54,304.37,2006.91,1398.17
12,ARUBA,ABW,101.57,8.36,109.93,93.21,83.71,3.99,87.7,79.73,92.3951605567179,7.604839443282088,84.79032111343581,-17.583932263463623,-52.27272727272727,-20.221959428727374,109.93,0.0,Valid,93.21,0.0,Valid,87.69999999999999,0.0,Valid,79.72,0.01,Valid,Americas,Latin America and the Caribbean,High income,,,,0.108,No,14904.0,0.0823,Trade Surplus,Low Import Dependency,High Export Dependency,Negative Growth,Negative Growth,Negative Growth,24.9,Low Trade Pressure,28.1,24.9,51.6,46.4,5.08,3.44,1.64,32.28,4.06,40.39,Maintain Current Trade,,,World Bank (SP.POP.TOTL) via datasets/population mirror,2024.0,"World Bank Data Help Desk - Country and Lending Groups (FY2027, based on 2025 GNI); Continent field from mledoze/countries reference dataset",2026,"Derived: haversine great-circle distance between country centroid coordinates (mledoze/countries reference dataset) and India centroid. Approximate straight-line distance, NOT actual trade/shipping route distance.",Exact calendar year not recoverable from source file; periods kept as relative labels Y1 (current) and Y0 (previous),Valid,101.57,8.36,109.93,93.21,83.71,3.99,87.7,79.73
13,AUSTRALIA,AUS,57877.62,114042.23,171919.85,-56164.61,58621.17,113738.31,172359.48,-55117.14,33.66546678583072,66.33453321416928,-32.66906642833855,1.284693461825133,-0.2664977701681195,0.2557179988232916,171919.85,0.0,Valid,-56164.60999999999,-0.0,Valid,172359.47999999998,0.0,Valid,-55117.14,0.0,Valid,Oceania,East Asia and Pacific,High income,1723827.22,1.82,63383.43,27.197,Yes - In force,7980.0,1.9704,Trade Deficit,High Import Dependency,Low Export Dependency,Moderate Growth,Negative Growth,Moderate Growth,38.7,Low Trade Pressure,69.1,38.7,65.2,68.7,2893.88,1967.84,926.04,32.0,2315.1,40.0,Increase Exports,World Bank (NY.GDP.MKTP.CD) via datasets/gdp mirror,2023.0,World Bank (SP.POP.TOTL) via datasets/population mirror,2024.0,"World Bank Data Help Desk - Country and Lending Groups (FY2027, based on 2025 GNI); Continent field from mledoze/countries reference dataset",2026,"Derived: haversine great-circle distance between country centroid coordinates (mledoze/countries reference dataset) and India centroid. Approximate straight-line distance, NOT actual trade/shipping route distance.",Exact calendar year not recoverable from source file; periods kept as relative labels Y1 (current) and Y0 (previous),Valid,57877.62,114042.23,171919.85,-56164.61,58621.17,113738.31,172359.48,-55117.14
14,AUSTRIA,AUT,7341.82,6256.77,13598.59,1085.04,9757.64,6619.35,16376.99,3138.3,53.98956803609786,46.01043196390214,7.979062535159895,32.90492003345219,5.795002852909727,20.431530033628484,13598.59,0.0,Valid,1085.0499999999993,-0.01,Valid,16376.99,0.0,Valid,3138.289999999999,0.01,Valid,Europe,Europe and Central Asia,High income,516034.14,9.57,56225.23,9.178,"Concluded (EU-India FTA, Jan 2026) - Not yet in force",6419.0,0.8522,Trade Surplus,Low Import Dependency,Moderate Export Dependency,High Growth,Moderate Growth,High Growth,24.1,Low Trade Pressure,79.6,24.1,77.8,70.0,367.09,249.62,117.47,32.0,293.67,40.0,Increase Exports,World Bank (NY.GDP.MKTP.CD) via datasets/gdp mirror,2023.0,World Bank (SP.POP.TOTL) via datasets/population mirror,2024.0,"World Bank Data Help Desk - Country and Lending Groups (FY2027, based on 2025 GNI); Continent field from mledoze/countries reference dataset",2026,"Derived: haversine great-circle distance between country centroid coordinates (mledoze/countries reference dataset) and India centroid. Approximate straight-line distance, NOT actual trade/shipping route distance.",Exact calendar year not recoverable from source file; periods kept as relative labels Y1 (current) and Y0 (previous),Valid,7341.82,6256.77,13598.59,1085.04,9757.64,6619.35,16376.99,3138.3
15,AZERBAIJAN,AZE,619.52,4.63,624.15,614.89,668.54,16.11,684.65,652.43,99.25819113995034,0.7418088600496675,98.51638227990068,7.91257747933884,247.94816414686824,9.693182728510775,624.15,0.0,Valid,614.89,0.0,Valid,684.65,0.0,Valid,652.43,0.0,Valid,Asia,Europe and Central Asia,Upper-middle income,72356.18,-8.19,7091.78,10.203,No,3606.0,0.0075,Trade Surplus,Low Import Dependency,High Export Dependency,Moderate Growth,High Growth,Moderate Growth,31.5,Low Trade Pressure,50.0,31.5,59.2,53.3,30.98,21.07,9.91,31.99,24.78,39.99,Diversify Product,World Bank (NY.GDP.MKTP.CD) via datasets/gdp mirror,2023.0,World Bank (SP.POP.TOTL) via datasets/population mirror,2024.0,"World Bank Data Help Desk - Country and Lending Groups (FY2027, based on 2025 GNI); Continent field from mledoze/countries reference dataset",2026,"Derived: haversine great-circle distance between country centroid coordinates (mledoze/countries reference dataset) and India centroid. Approximate straight-line distance, NOT actual trade/shipping route distance.",Exact calendar year not recoverable from source file; periods kept as relative labels Y1 (current) and Y0 (previous),Valid,619.52,4.63,624.15,614.89,668.54,16.11,684.65,652.43
16,BAHAMAS,BHS,486.19,99.9,586.08,386.29,76.14,42.82,118.96,33.33,82.9562517062517,17.045454545454543,65.91079716079716,-84.33945576832103,-57.13713713713714,-79.70242970242971,586.09,-0.01,Valid,386.29,0.0,Valid,118.96,-0.0,Valid,33.32,0.01,Valid,Americas,Latin America and the Caribbean,High income,14338.5,9.15,35731.64,0.401,No,14292.0,0.2055,Trade Surplus,Low Import Dependency,High Export Dependency,Negative Growth,Negative Growth,Negative Growth,27.4,Low Trade Pressure,13.8,27.4,43.2,38.9,24.31,16.53,7.78,32.0,19.45,40.0,Maintain Current Trade,World Bank (NY.GDP.MKTP.CD) via datasets/gdp mirror,2023.0,World Bank (SP.POP.TOTL) via datasets/population mirror,2024.0,"World Bank Data Help Desk - Country and Lending Groups (FY2027, based on 2025 GNI); Continent field from mledoze/countries reference dataset",2026,"Derived: haversine great-circle distance between country centroid coordinates (mledoze/countries reference dataset) and India centroid. Approximate straight-line distance, NOT actual trade/shipping route distance.",Exact calendar year not recoverable from source file; periods kept as relative labels Y1 (current) and Y0 (previous),Valid,486.19,99.9,586.08,386.29,76.14,42.82,118.96,33.33
17,BAHARAIN IS,BHR,5460.25,4862.26,10322.51,597.99,5655.02,6257.57,11912.59,-602.55,52.896533885653774,47.10346611434622,5.79306777130756,3.567052790623148,28.69673773101396,15.4040054211621,10322.51,0.0,Valid,597.9899999999998,0.0,Valid,11912.59,0.0,Valid,-602.5499999999993,-0.0,Valid,Asia,"Middle East, North Africa, Afghanistan and Pakistan",High income,43205.0,-2.65,27195.7,1.589,No,2783.0,0.8905,Trade Surplus,Low Import Dependency,Moderate Export Dependency,Moderate Growth,High Growth,High Growth,26.0,Low Trade Pressure,59.2,26.0,66.6,59.9,273.01,185.65,87.36,32.0,218.41,40.0,Diversify Product,World Bank (NY.GDP.MKTP.CD) via datasets/gdp mirror,2023.0,World Bank (SP.POP.TOTL) via datasets/population mirror,2024.0,"World Bank Data Help Desk - Country and Lending Groups (FY2027, based on 2025 GNI); Continent field from mledoze/countries reference dataset",2026,"Derived: haversine great-circle distance between country centroid coordinates (mledoze/countries reference dataset) and India centroid. Approximate straight-line distance, NOT actual trade/shipping route distance.",Exact calendar year not recoverable from source file; periods kept as relative labels Y1 (current) and Y0 (previous),Valid,5460.25,4862.26,10322.51,597.99,5655.02,6257.57,11912.59,-602.55
18,BANGLADESH PR,BGD,72931.79,12936.26,85868.04,59995.53,79095.61,14161.29,93256.9,64934.31,84.93473241033567,15.0652792354408,69.86945317489489,8.451485970658347,9.469738548854156,8.60490119490325,85868.04999999999,-0.01,Valid,59995.52999999999,0.0,Valid,93256.9,0.0,Valid,64934.32,-0.01,Valid,Asia,South Asia,Lower-middle income,437415.33,-4.94,2520.22,173.562,Partial/Preferential (SAFTA/SAPTA/MERCOSUR PTA/APTA),1411.0,0.1774,Trade Surplus,Low Import Dependency,High Export Dependency,Moderate Growth,Moderate Growth,Moderate Growth,18.9,Low Trade Pressure,73.8,18.9,77.4,69.7,3646.59,2479.68,1166.91,32.0,2917.27,40.0,Increase Exports,World Bank (NY.GDP.MKTP.CD) via datasets/gdp mirror,2023.0,World Bank (SP.POP.TOTL) via datasets/population mirror,2024.0,"World Bank Data Help Desk - Country and Lending Groups (FY2027, based on 2025 GNI); Continent field from mledoze/countries reference dataset",2026,"Derived: haversine great-circle distance between country centroid coordinates (mledoze/countries reference dataset) and India centroid. Approximate straight-line distance, NOT actual trade/shipping route distance.",Exact calendar year not recoverable from source file; periods kept as relative labels Y1 (current) and Y0 (previous),Valid,72931.79,12936.26,85868.04,59995.53,79095.61,14161.29,93256.9,64934.31
19,BARBADOS,BRB,130.6,22.89,153.49,107.72,196.63,12.69,209.32,183.94,85.08697635025082,14.913023649749167,70.18046778291745,50.55895865237366,-44.56094364351245,36.373705127369846,153.49,0.0,Valid,107.71,0.01,Valid,209.32,0.0,Valid,183.94,0.0,Valid,Americas,Latin America and the Caribbean,High income,6393.56,9.47,22634.73,0.282,No,13998.0,0.1753,Trade Surplus,Low Import Dependency,High Export Dependency,High Growth,Negative Growth,High Growth,22.3,Low Trade Pressure,69.2,22.3,73.4,66.1,6.53,4.44,2.09,32.01,5.22,40.04,Increase Exports,World Bank (NY.GDP.MKTP.CD) via datasets/gdp mirror,2023.0,World Bank (SP.POP.TOTL) via datasets/population mirror,2024.0,"World Bank Data Help Desk - Country and Lending Groups (FY2027, based on 2025 GNI); Continent field from mledoze/countries reference dataset",2026,"Derived: haversine great-circle distance between country centroid coordinates (mledoze/countries reference dataset) and India centroid. Approximate straight-line distance, NOT actual trade/shipping route distance.",Exact calendar year not recoverable from source file; periods kept as relative labels Y1 (current) and Y0 (previous),Valid,130.6,22.89,153.49,107.72,196.63,12.69,209.32,183.94
20,BELARUS,BLR,297.48,100.69,398.16,196.79,486.17,286.69,772.87,199.48,74.71368294153105,25.28882861161341,49.424854329917615,63.429474250369765,184.72539477604528,94.11040787623064,398.17,-0.01,Valid,196.79,-0.0,Valid,772.86,0.01,Valid,199.48,-0.0,Valid,Europe,Europe and Central Asia,Upper-middle income,71857.38,-2.6,7868.2,9.133,No,5548.0,0.3385,Trade Surplus,Low Import Dependency,High Export Dependency,High Growth,High Growth,High Growth,27.7,Low Trade Pressure,71.8,27.7,72.0,64.8,14.87,10.11,4.76,32.01,11.9,40.0,Increase Exports,World Bank (NY.GDP.MKTP.CD) via datasets/gdp mirror,2023.0,World Bank (SP.POP.TOTL) via datasets/population mirror,2024.0,"World Bank Data Help Desk - Country and Lending Groups (FY2027, based on 2025 GNI); Continent field from mledoze/countries reference dataset",2026,"Derived: haversine great-circle distance between country centroid coordinates (mledoze/countries reference dataset) and India centroid. Approximate straight-line distance, NOT actual trade/shipping route distance.",Exact calendar year not recoverable from source file; periods kept as relative labels Y1 (current) and Y0 (previous),Valid,297.48,100.69,398.16,196.79,486.17,286.69,772.87,199.48
